Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"11220 N Lamar Blvd, Austin, TX 78753, USA",bba64249e8bbb978472b717f2ac7601db84d4ec2,Rice Bowl Cafe,2.0,4.2,78753
"14735 Bratton Ln, Austin, TX 78728, USA",4a6390f25341ab7f6eb7f6304cb131b342956d52,Four Seasons Chinese Restaurant,2.0,3.8,78728
"1921 Cedar Bend Dr, Austin, TX 78758, USA",24e859da4594f3333b010200129aab9b6d4d8365,Little China Restaurant,,4.2,78758
"11005 Burnet Rd, Austin, TX 78758, USA",fedcf07067c548f4663b355860888ba6a118283d,Szechuan House,,3.5,78758
"7858 Shoal Creek Blvd, Austin, TX 78757, USA",34c434b9790dcb7ae0ab0fbcc0628195480bacaa,Suzi's China Grill,2.0,3.9,78757
"2025 Guadalupe St, Austin, TX 78705, USA",64a7ecc49bb4d7b69ef58e8bfec7dd03cacc78ec,Hoa-Hoa,2.0,3.8,78705
"9505 Burnet Rd A, Austin, TX 78758, USA",7f8f652ba6d87fd306f11776dbde1dcf3c3af44e,China House Restaurant,2.0,2.7,78758
"8303 Burnet Rd 1, Austin, TX 78757, United States",9e64452ef92e33ab42a0365ef56153e24d49a3a0,Shu Shu's Asian Cuisine,2.0,4.3,78757
"Spicewood/183 Center, 8650 Spicewood Springs Rd #114a, Austin, TX 78759, United States",129470543519677b0f235f3e6a6b177b99eb6ef9,Asia Cafe,1.0,4.4,78759
"13000 N Interstate Hwy 35 Suite 102, Austin, TX 78753, USA",dbc639f981b99631f9e57282cd86fd34b786b2e3,Cyclo Vietnamese & Chinese,2.0,4.0,78753
"3742 Far West Blvd, Austin, TX 78731, USA",3cff52e227e26e10537f085ad28e7e098667b65d,Hao-Q Asian Kitchen,,4.0,78731
"4413 Guadalupe St, Austin, TX 78751, USA",b7c6616c2e553cf9c72ee6e2553dce0c77335aeb,Wok 'N Express,,4.2,78751
"#110, 8557 Research Blvd, Austin, TX 78758, United States",769e95aeef4beff4cd733ae3818dae850aaeb1f3,Julie's Noodles,,4.3,78758
"10601 Ranch Rd 2222, Austin, TX 78730, USA",66b078c196b3605338c3da5f1421a02745aacd0d,Hunan Riverplace Restaurant,2.0,4.2,78730
"7517 Cameron Rd, Austin, TX 78752, USA",0fd1e9f10db8f0a081b7fdd2679f693d252c2c82,Oriental Express,2.0,3.4,78752
"10114 Jollyville Rd, Austin, TX 78759, USA",0f847de055cbdd06c0835266316f1951b2d123f1,P.F. Chang's,2.0,4.1,78759
"8709 N Interstate Hwy 35, Austin, TX 78753, USA",33c1a68eef1bdad0c2c4b91cfd5d5eb6bdca44be,Fujian Grand China Buffet,1.0,3.6,78753
"9231 W Parmer Ln #101, Austin, TX 78717, USA",5ec09d5f308bb441aabf8ec4da286c566a6b7819,Twin Panda,,4.6,78717
"5451 I-35, Austin, TX 78723, USA",f3c671171b0791ab8a0325e91443ac366c0f2667,Buffet King,2.0,3.7,78723
"13717 Burnet Rd, Austin, TX 78727, USA",947f364916db2a10ceb557bb8911ffe8f3cc2589,Wanfu III Asian Diner,,3.6,78727
"3235 E Cesar Chavez St, Austin, TX 78702, USA",efc94febad66c990e926b020753be47344de2de1,Jacoby's Restaurant & Mercantile,3.0,4.3,78702
"1601 S IH 35 Frontage Rd, Austin, TX 78702, USA",c1d29489c12222bb77f05b38f5e7566a7adc346a,Denny's,1.0,3.7,78702
"1115 E 11th St, Austin, TX 78702, USA",01779708fb644f5d4bbd8b43bbd47bd16cbaff18,Blue Dahlia Bistro,2.0,4.6,78702
"1519 E Cesar Chavez St #200, Austin, TX 78702, USA",cc6dd2fd4168595780d9fc941eb0e87c64115e34,Bufalina Pizza,1.0,4.4,78702
"2500 E 6th St, Austin, TX 78702, USA",11255f4bdf8438bda2e1e611639d8214492ece77,DEE DEE - Northern Thai Street Food,1.0,4.8,78702
"619 N Interstate Hwy 35, Austin, TX 78702, USA",a290e11c279e2296347bb9647f65cbc08ea54c85,Wendy's,1.0,3.1,78702
"1144 E. Airport Blvd., Austin, TX 78702, United States",57186188132741321c876e09595c15de944807ac,Golden Chick,1.0,3.6,78702
"1211 E 6th St, Austin, TX 78702, USA",6f258b1778299252d9f02d4266baee25da95177f,Aimee's Super Fantazmo Food Club,,4.7,78702
"2409 E 7th St, Austin, TX 78702, USA",2178c39c52803d855158df15dd67b08ff36db872,Casa Colombia,2.0,4.5,78702
"2121 E 6th St, Austin, TX 78702, USA",6059adc6a8960d64a5c3c0ce27a4dca441027ec8,Hi Hat Public House,,4.6,78702
"1411 E 7th St, Austin, TX 78702, USA",d7f2901695579285a0193d399eb1785db6b9b137,Takoba,2.0,4.1,78702
"2501 E 7th St Ste 300, Austin, TX 78702, USA",7b6589568f00a75dbd132b2d14163c918bc6f9d6,Domino's Pizza,1.0,3.4,78702
"105 Tillery St, Austin, TX 78702, USA",b51f70ae72c96364d40b9845b25b1ea0a63959c9,Grizzelda's,2.0,4.2,78702
"4827 E Cesar Chavez St, Austin, TX 78702, USA",86f00d1d152ca1a6d5a068ecb4bc707ecd483ac1,Sawyer & Co,2.0,4.4,78702
"1144 Airport Blvd, Austin, TX 78702, USA",0a9269736d0433263f99062db1bca7025e114b54,Pizza Hut,1.0,2.7,78702
"2706 Gonzales St, Austin, TX 78702, USA",a5d0f7004b28c31aa72e109a4ef1448826c2558f,Sonic Drive-In,1.0,3.3,78702
"3518 E 7th St, Austin, TX 78702, USA",343b4bf08e0841aafabaa034b5ddc1c2025c6abe,Beto's Restaurants,,4.4,78702
"1823 Airport Blvd, Austin, TX 78702, USA",fc24d75088db2585ae13719a7b5826c779f5bea0,Popeyes Louisiana Kitchen,1.0,3.3,78702
"2337 E Cesar Chavez St, Austin, TX 78702, USA",1ad2c3bb2d0833f7ce056630b56cf87b3c598068,Counter Culture,,4.6,78702
"1209 E 7th St, Austin, TX 78702, USA",42cd9479213713772c1537e20df1d2025107a6b3,The Hightower,1.0,4.5,78702
"1000 W Lynn St, Austin, TX 78703, USA",62b83987eb0f7dd7b728188a2998d7b11db72cbd,Galaxy Cafe,1.0,4.3,78703
"2608 W 7th St, Austin, TX 78703, USA",5cbbcd9851f7021c65f23e10800f07d4e91e6d1a,Maudie's Cafe,2.0,4.0,78703
"7718 Burnet Rd, Austin, TX 78703, USA",1cf91c6f40589bbac64940f5141f03e18e1ca2f5,Panda Express,1.0,3.2,78703
"1014 N Lamar Blvd, Austin, TX 78703, USA",7f1ae4798e54595a4dd1cc20e9c5baa1a544b1eb,Wink,3.0,4.3,78703
"1611 W 5th St #105, Austin, TX 78703, USA",f6efc97842e7a6d61cb198f0122ebf265710a4e0,Sushi Zushi,,4.1,78703
"600 N Lamar Blvd, Austin, TX 78703, USA",f437bc994aebf94277cab3ca0c57c50dec90c632,24 Diner,2.0,4.3,78703
"1014 W 6th St, Austin, TX 78703, USA",8a9b040aa7ede60dad42aec0b2477ccc65a3bb18,Snap Kitchen,2.0,4.2,78703
"817 W 5th St, Austin, TX 78703, USA",b02c02026510255d803e425da0ecbac27bfdf5df,Austin's Habibi,1.0,4.0,78703
"507 Pressler St, Austin, TX 78703, USA",a522576d0abce0195adecb5413b16fd246f8c4c1,TNT Tacos and Tequila,,4.0,78703
"2304 Lake Austin Blvd, Austin, TX 78703, USA",e20cd08b659050cfe07943b4792422483730c3e3,Magnolia Cafe,2.0,4.3,78703
"1213 W Lynn St, Austin, TX 78703, USA",9127aa83a1083fa33cb3bffc8301ad0e5fb5466a,Cipollina,2.0,4.2,78703
"509 Hearn St, Austin, TX 78703, USA",543c7c7714b982c9933ba52bdaf265077870f3e8,Fabi + Rosi,2.0,4.7,78703
