Address,ID(Google),Name,Price_Level(Google),Rating(Google),Zip
"1395 US Highway 183 South, Suite 160 Leander Shopping Center, Leander, TX 78641, United States",834635f163e2b71e68e9f3cc36c361a80ac906de,SUBWAY®Restaurants,1.0,4.0,78641
"11880 Old 2243 W Ste 205, Leander, TX 78641, USA",f6490a1cb742ec641d87ea2b97e44bc9626002e5,Little Caesars Pizza,1.0,3.4,78641
"Leander, TX 78641, USA",7a70676894dca679742ae62cb75d54d7c946b0b4,Maria's Mexican Restaurant,,3.9,78641
"8714 Lime Creek Rd, Volente, TX 78641, USA",03362b099e7957dab9d183b28685cb2c00147983,Shack 512,2.0,4.4,78641
"1912 S Bagdad Rd, Leander, TX 78641, USA",492dc20306b0a28a551d2d0e46fcc9ce04a33d3b,Camco's Country Kitchen,,5.0,78641
"Leander, TX 78641, USA",d27adfd1362fcce177a34feb5ab277e2934a1fce,CypressCreek TX,,,78641
"11880 Old 2243 W, Leander, TX 78641, USA",3a3a3435105000ee0bacecc156c90835086496e2,Super Donut,,4.7,78641
"15609 Ronald Reagan Blvd, Leander, TX 78641, USA",cb5dac71035097ca5ef2bf8a97921c01f9a56ab2,Marco's Pizza,,,78641
"2403 US-183 #102, Leander, TX 78641, USA",5f9caad08728fd4bd5385cf3147bcbd8fe8fe68e,Delightful Me Specialty Sweets,,4.0,78641
"16107 FM2769, Leander, TX 78641, USA",57957374388ef09c11806141a33d68e4a49dde3b,Beaches,,,78641
"11880 Hero Way West, Leander, TX 78641, USA",767ebbe195be07525086ef077d96d91d56d12d49,Leander Nutrition,,5.0,78641
"1908 West Dr, Leander, TX 78641, USA",9294030824cdc12c9501cd1bdae8997c524839d7,Curbside Cuisines,,,78641
"1335 E Whitestone Blvd, Cedar Park, TX 78613, USA",f1c9d2b6ee3c8bff0026cc16d38a1289b7e037bd,Teji’s Indian Restaurant and Grocery,2.0,3.2,78613
"2091 C S Hwy 183, Leander, TX 78641, United States",f68c508c1605579b2345362d8b70b4ec9ee47184,Papa John's Pizza,,3.6,78641
"654 US-183 Ste 190, Leander, TX 78641, USA",13830d685a666ed6f023e05a992bcce18457afa5,Domino's Pizza,1.0,3.9,78641
"2906 S Bagdad Rd, Leander, TX 78641, USA",3914420351c9bbb6bd42aba557a32246b1de9ae1,Domino's Pizza,1.0,4.5,78641
"2450 RR 1869, Liberty Hill, TX 78642, United States",3c13fa2c2582670887de97074baaf1f27676b764,Dahlia Cafe,2.0,4.7,78642
